n, time
5680,5031
5690,5104
5700,4947
5710,4975
5720,4948
5730,5009
5740,4955
5750,5068
5760,5068
5770,5074
5780,5150
5790,5077
5800,5080
5810,5143
5820,5100
5830,5085
5840,5099
5850,5061
5860,5140
5870,5141
5880,5171
5890,5185
5900,5133
5910,5213
5920,5156
5930,5158
5940,5173
5950,5178
5960,5188
5970,5189
5980,5291
5990,5329
6000,5278
6010,5269
6020,5308
6030,5288
6040,5276
6050,5248
6060,5315
6070,5352
6080,5321
6090,5254
6100,5323
6110,5421
6120,5347
6130,5393
6140,5426
6150,5376
6160,5418
6170,5362
6180,5407
6190,5412
6200,5455
6210,5429
6220,5382
6230,5465
6240,5443
6250,5463
6260,5512
6270,5508
6280,5536
6290,5498
6300,5507
6310,5636
6320,5564
6330,5791
6340,5474
6350,5527
6360,5598
6370,5604
6380,5601
6390,5595
6400,5660
6410,5590
6420,5617
6430,5635
6440,5563
6450,5648
6460,5638
6470,5669
6480,5582
6490,5842
6500,5627
6510,5674
6520,5647
6530,5670
6540,5698
6550,5742
6560,5696
6570,5779
6580,5768
6590,5762
6600,5740
6610,5779
6620,5807
6630,5706
6640,5774
6650,5807
6660,5864
6670,5830
6680,6138
6690,5820
6700,5794
6710,5847
6720,5838
6730,5850
6740,5937
6750,5890
6760,5911
6770,6099
6780,5931
6790,5895
6800,5929
6810,6011
6820,6045
6830,5988
6840,6011
6850,6136
6860,6016
6870,6053
6880,6071
6890,6058
6900,5986
6910,6026
6920,6088
6930,6036
6940,6207
6950,6145
6960,6095
6970,6046
6980,6159
6990,6108
7000,6187
7010,6165
7020,6123
7030,6249
7040,6193
7050,6153
7060,6278
7070,6220
7080,6192
7090,6270
7100,6236
7110,6215
7120,6255
7130,6236
7140,6196
7150,6296
7160,6318
7170,6313
7180,6369
7190,6286
7200,6359
7210,6282
7220,6294
7230,6359
7240,6408
7250,6570
7260,6694
7270,6560
7280,6531
7290,6567
7300,6334
7310,6374
7320,6430
7330,6423
7340,6437
7350,6517
7360,6384
7370,6534
7380,6546
7390,6482
7400,6495
7410,6508
7420,6488
7430,6545
7440,6515
7450,6494
7460,6573
7470,6562
7480,6606
7490,6606
7500,6502
7510,6654
7520,6717
7530,6547
7540,6716
7550,6616
7560,6663
7570,6698
7580,6635
7590,6659
7600,6658
7610,6778
7620,6656
7630,6752
7640,6628
7650,6691
7660,6727
7670,6670
7680,6665
7690,6829
7700,6691
7710,6739
7720,6701
7730,6825
7740,6849
7750,6692
7760,6709
7770,6997
7780,6774
7790,6845
7800,6833
7810,6835
7820,6873
7830,6856
7840,6939
7850,6884
7860,6793
7870,6817
7880,6865
7890,6921
7900,6928
7910,6918
7920,6935
7930,12328
7940,10103
7950,10622
7960,7061
7970,6914
7980,6987
7990,7004
8000,7310
8010,7020
8020,7044
8030,6957
8040,7083
8050,7102
8060,7135
8070,6976
8080,7231
8090,7083
8100,7080
8110,7190
8120,7230
8130,7053
8140,7095
8150,7167
8160,7210
8170,7135
8180,7213
8190,7211
8200,7138
8210,7138
8220,7287
8230,7267
8240,7197
8250,7219
8260,7231
8270,7173
8280,7219
8290,7346
8300,7265
8310,7266
8320,7227
8330,7341
8340,7296
8350,7350
8360,7287
8370,7373
8380,7315
8390,7306
8400,7364
8410,7459
8420,7358
8430,7433
8440,7362
8450,7478
8460,7513
8470,7441
8480,7413
8490,7357
8500,7560
8510,7546
8520,7529
8530,7551
8540,7497
8550,7436
8560,7447
8570,7444
8580,7526
8590,7493
8600,7500
8610,7592
8620,7525
8630,7507
8640,7562
8650,7566
8660,7507
8670,7641
8680,7633
8690,7520
8700,7596
8710,7636
8720,7589
8730,7663
8740,7756
8750,7598
8760,7642
8770,7631
8780,7623
8790,7643
8800,7832
8810,7712
8820,7731
8830,7748
8840,7726
8850,7686
8860,7680
8870,7820
8880,7731
8890,7787
8900,7756
8910,7735
8920,7783
8930,7792
8940,7814
8950,7831
8960,7818
8970,7812
8980,7834
8990,7786
9000,7879
9010,8058
9020,7813
9030,7852
9040,7880
9050,7933
9060,7854
9070,7905
9080,8040
9090,7883
9100,8010
9110,7980
9120,7995
9130,7907
9140,7930
9150,8107
9160,7941
9170,8045
9180,8081
9190,8084
9200,7980
9210,8029
9220,8456
9230,8123
9240,8041
9250,8052
9260,8113
9270,8140
9280,8085
9290,8111
9300,8057
9310,8197
