n, time
3520,16
3530,16
3540,18
3550,18
3560,16
3570,16
3580,17
3590,28
3600,36
3610,28
3620,18
3630,17
3640,16
3650,16
3660,16
3670,17
3680,16
3690,17
3700,16
3710,16
3720,17
3730,16
3740,17
3750,16
3760,16
3770,16
3780,17
3790,16
3800,16
3810,16
3820,17
3830,16
3840,17
3850,16
3860,16
3870,17
3880,16
3890,18
3900,17
3910,17
3920,16
3930,17
3940,17
3950,16
3960,16
3970,16
3980,18
3990,17
4000,17
4010,17
4020,40
4030,30
4040,27
4050,27
4060,16
4070,16
4080,16
4090,16
4100,16
4110,16
4120,17
4130,17
4140,17
4150,16
4160,18
4170,16
4180,16
4190,16
4200,16
4210,16
4220,16
4230,22
4240,17
4250,16
4260,17
4270,17
4280,17
4290,20
4300,22
4310,35
4320,17
4330,17
4340,17
4350,16
4360,16
4370,16
4380,16
4390,16
4400,18
4410,17
4420,17
4430,16
4440,17
4450,17
4460,17
4470,16
4480,17
4490,16
4500,16
4510,15
4520,15
4530,15
4540,18
4550,16
4560,16
4570,16
4580,17
4590,17
4600,17
4610,17
4620,16
4630,16
4640,16
4650,17
4660,16
4670,16
4680,17
4690,16
4700,26
4710,21
4720,17
4730,17
4740,17
4750,16
4760,16
4770,17
4780,17
4790,17
4800,16
4810,16
4820,17
4830,17
4840,16
4850,16
4860,16
4870,16
4880,16
4890,16
4900,16
4910,16
4920,23
4930,17
4940,18
4950,17
4960,17
4970,16
4980,18
4990,19
5000,16
5010,16
5020,40
5030,16
5040,17
5050,17
5060,17
5070,16
5080,16
5090,16
5100,17
5110,18
5120,17
5130,17
5140,17
5150,17
5160,17
5170,16
5180,17
5190,16
5200,17
5210,17
5220,16
5230,16
5240,15
5250,15
5260,15
5270,15
5280,15
5290,15
5300,19
5310,17
5320,16
5330,16
5340,16
5350,16
5360,31
5370,19
5380,17
5390,16
5400,17
5410,16
5420,56
5430,27
5440,17
5450,17
5460,16
5470,16
5480,16
5490,17
5500,17
5510,16
5520,17
5530,16
5540,17
5550,16
5560,16
5570,16
5580,17
5590,15
5600,15
5610,15
5620,15
5630,16
5640,15
5650,15
5660,15
5670,18
5680,17
5690,16
5700,17
5710,16
5720,16
5730,17
5740,16
5750,17
5760,16
5770,17
5780,16
5790,17
5800,17
5810,16
5820,17
5830,27
5840,16
5850,17
5860,16
5870,17
5880,17
5890,17
5900,16
5910,17
5920,16
5930,16
5940,16
5950,16
5960,17
5970,17
5980,16
5990,16
6000,17
6010,16
6020,16
6030,17
6040,16
6050,17
6060,17
6070,17
6080,17
6090,16
6100,16
6110,16
6120,17
6130,17
6140,17
6150,16
6160,17
6170,17
6180,16
6190,17
6200,17
6210,17
6220,17
6230,16
6240,17
6250,17
6260,17
6270,17
6280,16
6290,16
6300,17
6310,39
6320,27
6330,26
6340,40
6350,16
6360,16
6370,16
6380,17
6390,17
6400,17
6410,16
6420,16
6430,37
6440,16
6450,17
6460,17
6470,16
6480,17
6490,16
6500,17
6510,17
6520,16
6530,16
6540,16
6550,16
6560,17
6570,16
6580,17
6590,17
6600,16
6610,17
6620,16
6630,17
6640,16
6650,211
6660,17
6670,16
6680,16
6690,16
6700,16
6710,17
6720,16
6730,17
6740,17
6750,17
6760,16
6770,17
6780,17
6790,17
6800,17
6810,16
6820,16
6830,17
6840,17
6850,16
6860,17
6870,22
6880,299
6890,17
6900,16
6910,17
6920,17
6930,17
6940,16
6950,16
6960,17
6970,17
6980,17
6990,16
7000,17
7010,16
7020,17
7030,17
7040,16
7050,17
7060,17
7070,17
7080,16
7090,16
7100,16
7110,829
7120,16
7130,16
7140,17
7150,25
7160,16
7170,16
7180,16
7190,17
7200,16
7210,16
7220,16
7230,16
7240,17
7250,16
7260,17
7270,17
7280,16
7290,17
7300,1143
7310,16
7320,16
7330,17
7340,17
7350,16
7360,16
7370,16
7380,16
7390,17
7400,16
7410,16
7420,16
7430,16
7440,16
7450,17
7460,16
7470,16
7480,17
7490,16
7500,18
7510,17
7520,16
7530,17
7540,358
7550,16
7560,17
7570,16
7580,17
7590,17
7600,17
7610,16
7620,17
7630,16
7640,16
7650,17
7660,17
7670,17
7680,17
7690,16
7700,16
7710,16
7720,17
7730,16
7740,159
7750,17
7760,17
7770,17
7780,18
7790,24
7800,37
7810,26
7820,41
7830,16
7840,17
7850,16
7860,16
7870,16
7880,17
7890,16
7900,16
7910,16
7920,17
7930,17
7940,17
7950,16
7960,17
7970,16
7980,17
7990,16
8000,17
8010,33
8020,16
8030,16
8040,16
8050,17
8060,17
8070,18
8080,17
8090,17
8100,17
8110,17
8120,17
8130,16
8140,16
8150,17
8160,17
8170,17
8180,17
8190,17
8200,17
8210,17
8220,17
8230,16
8240,17
8250,77
8260,17
8270,16
8280,16
8290,17
8300,17
8310,17
8320,16
8330,17
8340,16
8350,17
8360,16
8370,16
8380,17
8390,17
8400,17
8410,16
8420,17
8430,17
8440,16
8450,16
8460,17
8470,31
8480,30
8490,17
8500,81
8510,16
8520,17
8530,16
8540,17
8550,17
8560,17
8570,16
8580,16
8590,26
8600,17
8610,17
8620,16
8630,16
8640,16
8650,16
8660,17
8670,16
8680,16
8690,17
8700,16
8710,16
8720,17
8730,16
8740,17
8750,16
8760,15
8770,16
8780,17
8790,93
8800,16
8810,17
8820,17
8830,17
8840,42
8850,16
8860,16
8870,16
8880,17
8890,17
8900,16
8910,17
8920,30
8930,21
8940,29
8950,29
8960,29
8970,30
8980,30
8990,16
9000,17
9010,36
9020,27
9030,38
9040,18
9050,19
9060,16
9070,16
9080,16
9090,17
9100,17
9110,16
9120,17
9130,24
9140,17
9150,17
9160,17
9170,17
9180,17
9190,17
9200,17
9210,16
9220,16
9230,16
9240,16
9250,26
9260,16
9270,16
9280,17
9290,16
9300,16
9310,17
9320,17
9330,16
9340,17
9350,17
9360,16
9370,29
9380,27
9390,17
9400,16
9410,16
9420,17
9430,16
9440,16
9450,17
9460,16
9470,16
9480,17
9490,16
9500,16
9510,16
9520,16
9530,16
9540,16
9550,16
9560,16
9570,16
9580,16
9590,16
9600,17
9610,16
9620,17
9630,17
9640,16
9650,18
9660,45
9670,29
9680,29
9690,17
9700,16
9710,16
9720,16
9730,16
9740,16
9750,17
9760,17
9770,17
9780,16
9790,16
9800,16
9810,16
9820,16
9830,17
9840,16
9850,17
9860,17
9870,16
9880,18
9890,16
9900,17
9910,17
9920,42
9930,45
9940,54
9950,16
9960,17
9970,17
9980,25
9990,17
