n, time
0,17
10,18
20,18
30,17
40,16
50,17
60,15
70,15
80,17
90,20
100,16
110,16
120,16
130,16
140,18
150,16
160,18
170,19
180,16
190,16
200,17
210,16
220,18
230,16
240,17
250,17
260,18
270,17
280,16
290,17
300,25
310,27
320,30
330,17
340,16
350,18
360,17
370,17
380,18
390,17
400,17
410,17
420,17
430,16
440,16
450,17
460,17
470,16
480,17
490,16
500,16
510,16
520,17
530,17
540,16
550,16
560,16
570,17
580,17
590,25
600,27
610,39
620,17
630,28
640,17
650,48
660,25
670,17
680,16
690,17
700,17
710,16
720,17
730,17
740,16
750,16
760,16
770,16
780,17
790,17
800,18
810,16
820,18
830,16
840,17
850,17
860,16
870,17
880,18
890,16
900,16
910,17
920,16
930,16
940,16
950,17
960,16
970,17
980,16
990,16
1000,16
1010,17
1020,16
1030,16
1040,16
1050,16
1060,18
1070,17
1080,16
1090,17
1100,17
1110,17
1120,17
1130,64
1140,29
1150,28
1160,18
1170,17
1180,17
1190,16
1200,16
1210,17
1220,17
1230,16
1240,16
1250,17
1260,16
1270,17
1280,16
1290,16
1300,16
1310,16
1320,16
1330,17
1340,17
1350,16
1360,16
1370,16
1380,17
1390,17
1400,20
1410,17
1420,17
1430,24
1440,17
1450,16
1460,17
1470,17
1480,16
1490,17
1500,17
1510,17
1520,16
1530,17
1540,21
1550,16
1560,16
1570,17
1580,17
1590,16
1600,16
1610,16
1620,17
1630,16
1640,16
1650,17
1660,23
1670,17
1680,17
1690,16
1700,17
1710,17
1720,16
1730,16
1740,17
1750,17
1760,17
1770,25
1780,30
1790,29
1800,31
1810,30
1820,29
1830,18
1840,17
1850,16
1860,16
1870,17
1880,17
1890,17
1900,16
1910,17
1920,17
1930,17
1940,17
1950,17
1960,16
1970,16
1980,24
1990,18
2000,17
2010,17
2020,17
2030,16
2040,17
2050,17
2060,24
2070,29
2080,27
2090,17
2100,16
2110,16
2120,17
2130,17
2140,16
2150,16
2160,16
2170,17
2180,16
2190,16
2200,17
2210,16
2220,17
2230,16
2240,16
2250,16
2260,16
2270,16
2280,15
2290,15
2300,15
2310,15
2320,15
2330,18
2340,17
2350,18
2360,17
2370,16
2380,17
2390,17
2400,17
2410,16
2420,22
2430,34
2440,33
2450,32
2460,35
2470,31
2480,28
2490,16
2500,16
2510,17
2520,16
2530,16
2540,16
2550,17
2560,17
2570,16
2580,17
2590,17
2600,16
2610,16
2620,16
2630,16
2640,16
2650,16
2660,17
2670,16
2680,16
2690,17
2700,17
2710,16
2720,17
2730,16
2740,16
2750,17
2760,16
2770,16
2780,16
2790,17
2800,16
2810,16
2820,17
2830,17
2840,17
2850,17
2860,17
2870,40
2880,16
2890,16
2900,16
2910,16
2920,17
2930,17
2940,18
2950,16
2960,16
2970,17
2980,17
2990,16
3000,16
3010,16
3020,16
3030,16
3040,17
3050,16
3060,17
3070,16
3080,16
3090,17
3100,17
3110,17
3120,17
3130,17
3140,15
3150,16
3160,16
3170,15
3180,17
3190,17
3200,17
3210,17
3220,17
3230,17
3240,17
3250,17
3260,16
3270,17
3280,16
3290,16
3300,17
3310,17
3320,62
3330,17
3340,17
3350,16
3360,16
3370,16
3380,17
3390,16
3400,17
3410,17
3420,17
3430,16
3440,17
3450,16
3460,16
3470,16
3480,17
3490,17
3500,16
3510,16
