size, time
0,37
10,289
20,860
30,1648
40,2571
50,3709
60,4989
70,6368
80,8021
90,9946
100,11764
110,13726
120,15962
130,18310
140,20992
150,23580
160,26501
170,29678
180,32956
190,36019
200,39402
210,43631
220,46980
230,51002
240,55287
250,58901
260,63938
270,68600
280,74876
290,79333
300,84002
310,90326
320,95566
330,100160
340,106903
350,112032
360,118638
370,129055
380,131955
390,141063
400,154955
410,162333
420,168291
430,175972
440,175259
450,182338
460,191846
470,198992
480,208568
490,226544
500,227513
510,231642
520,242974
530,250300
540,259223
550,266571
560,279838
570,288947
580,299101
590,310968
600,319502
610,329564
620,340927
630,350061
640,359205
650,373425
660,406019
670,402075
680,407840
690,421090
700,431076
710,439929
720,456846
730,468389
740,505269
750,493111
760,505946
770,516741
780,533188
790,549318
800,562808
810,574152
820,590937
830,604278
840,617449
850,634370
860,647373
870,661320
880,675965
890,693052
900,722015
910,724757
920,728006
930,755498
940,774075
950,788529
960,803417
970,819225
980,839133
990,872522
